question_no	question_text
1	Create following directory hierarchy using Linux shell commands
2	Write programs to display message in following manner using \t and \n if applicable. a. HelloWorld b. Hello World c. Hello World
3	Write a program to demonstrate method for declaring and initializing variables in C
4	Write a program in C to demonstrate working of printf( ) and scanf( ) in
5	Write an algorithm to find sum and average of five numbers
6	Write an algorithm to find the largest among two different numbers entered by user
7	Draw a flowchart to find sum and average of five numbers
8	Write an algorithm to check if a given number is odd or even. Draw a flowchart to demonstrate the same
9	Write a program to demonstrate the use of float, char, double & unsigned int
10	Write a program to demonstrate the use of sizeof( ) , const, #define
11	Write a program in C to demonstrate the use of basic arithmetic operators +, -, *, /,%. Write an algorithm and draw the flowchart for the same
12	Write a program to compute Simple Interest. Write an algorithm & draw the flowchart for the same
13	Write a program to compute Compound Interest. Write an algorithm & draw the flowchart for the same. HINT: Use float or double data type
14	Write a program to swap two variables using a third variable. Write an algorithm & draw the flowchart for the same
15	Write a program to swap two variables without using a third variable. Write an algorithm & draw the flowchart for the same
16	Write a program in C to convert temperature value from Celsius to Fahrenheit and vice versa
17	Write a program in C to take time value in second’s format as user input and display its equivalent in the following format. hours: minutes :seconds Example: Input: 3666 Output : 1hr : 1min : 6sec
18	Write a program in C to calculate and display the Net Salary (NS) of an employee. The Dearness Allowance (DA) is 40% of Basic Salary (BS), House Rent Allowance (HRA) is 20% of basic. Tax deduction is 10 % of gross salary. Calculate the net salary using the formula give below. Gross Salary (GS) = DA + HRA + BS Net Salary = GS – Tax amount
19	Write a program in C to find the greatest among three numbers using ternary operator. Write an algorithm & draw the flowchart for the same
20	Write a program in C to check whether an alphabet is vowel or consonant using ternary operator. Write an algorithm & draw the flowchart for the same
21	Write a program in C to find the greatest among three numbers using if-else construct
22	Write a program in C to check whether an alphabet is vowel or consonant using if-else construct
23	Write a program in C to find the roots of a quadratic equation using if-else construct
24	Write a program in C to read marks for physics, chemistry and biology, calculate the average marks in science subject and display the grade in science using the table given below (using switch- case)
25	Write a program in C to design a basic calculator with addition, subtraction,multiplication, power and division facility. Implement using switch case
26	Write a program in C to read marks for physics, chemistry and biology, calculate the average marks in science subject and display the grade in science using the table given below using else-if ladder
27	Write a program in C to design a basic calculator with addition, subtraction, multiplication, power and division facility. Implement using else-if ladder
28	Write a program in C to calculate the sum of N natural numbers. 1+2+3+…….+N
29	Write a program in C to calculate the sum of series given below
30	Write a program in C to calculate the sum of series given below. 11+22+33.....+NN
31	Write a program in C to find the sum of digits in a number
32	Write a program in C to find the reverse of a number and check whether the number is palindrome or not
33	Write a program in C to convert decimal number to its binary equivalent
34	Write a program in C to display following patterns using loop. * ** *** **** 35 Write a program in C to display given pattern using loop. Q36 Write a program in C to display given pattern using loop. Q37 Write a program in C to display given pattern using loop. Q38 Write a program in C to display given pattern using loop
39	Write a program in C to count number of digits in a number using loop
40	Write a program in C to count number of students who have scored Grade S, A, B, C, D,E & F
41	Write a program in C to condense a number into single digit. Example: Input : 12345 4+5+6+7+8 +9 = 39 3 + 9 = 12 1+ 2 = 3 Output = 3
42	Write a program in C to find factorial of a number using loop
43	Write a program in C to find Fibonacci series till N terms
44	Write a program in C to find the sum and average of elements in 1D float array
45	Write a program in C to find the smallest and largest number in 1D double
46	Write a program in C to reverse elements of 1D array and store in another array
47	Write a program in C to demonstrate Linear search in 1D array
48	Write a program in C to search an element in 1D array using Binary search technique
49	Write a program in C to sort all integer elements of 1D array using Bubble Sort technique
50	Write a program in C to reverse elements of an array and store it in same array
51	Write program in C to display all the odd elements in 1D integer array
52	Write a program in C to display all the elements present in even location in 1D array
